                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76174,                0.96883,                      1,                0.82305,             0.00023659,             0.00023659,             0.00023659
                      2,                0.22594,                0.96104,                      1,                 0.7995,             0.00042761,             0.00042761,             0.00042761
                      3,                0.17378,                0.97143,                      1,                0.77771,              0.0005715,              0.0005715,              0.0005715
                      4,                0.14072,                0.98182,                      1,                0.77556,             0.00050194,             0.00050194,             0.00050194
                      5,                 0.1199,                0.97403,                      1,                0.77415,             0.00043126,             0.00043126,             0.00043126
                      6,                0.11265,                0.97922,                      1,                0.76583,             0.00036057,             0.00036057,             0.00036057
                      7,                0.12206,                0.98961,                      1,                 0.7661,             0.00028988,             0.00028988,             0.00028988
                      8,                0.09031,                0.99221,                      1,                0.76292,              0.0002192,              0.0002192,              0.0002192
                      9,                0.07862,                0.99481,                      1,                 0.7614,             0.00014851,             0.00014851,             0.00014851
                     10,                0.07983,                0.99481,                      1,                0.76055,             7.7826e-05,             7.7826e-05,             7.7826e-05
